timestamp,NO,NO2,O3,PM10,PM2.5
2023-01-03 18:00:00,7.7075,36.57,24.1675,9.226666666666668,8.196666666666667
2023-01-03 19:00:00,7.3075,34.105000000000004,23.57,10.74,9.46
2023-01-03 20:00:00,6.592499999999999,33.22,20.51,12.043333333333337,10.920000000000002
2023-01-03 21:00:00,3.832500000000001,26.59,24.1325,13.833333333333334,12.816666666666668
2023-01-03 22:00:00,4.795,22.6575,29.6675,16.95,16.596666666666668
2023-01-03 23:00:00,2.5700000000000003,17.482499999999998,35.8925,14.566666666666668,14.333333333333334
2023-01-04 00:00:00,2.165,16.637500000000003,34.292500000000004,14.166666666666666,13.746666666666668
2023-01-04 01:00:00,1.4425,15.83,29.03,13.833333333333334,13.35
2023-01-04 02:00:00,2.51,14.105,27.1625,13.306666666666668,12.98
2023-01-04 03:00:00,7.275,15.655,27.255,13.096666666666666,12.686666666666667
2023-01-04 04:00:00,9.3575,21.285,21.1425,11.57,11.176666666666668
2023-01-04 05:00:00,12.13,26.355,15.21,13.983333333333334,13.173333333333332
2023-01-04 06:00:00,13.1875,25.0175,16.7575,12.54,11.47
2023-01-04 07:00:00,20.8125,29.885,14.81,12.396666666666668,10.843333333333334
2023-01-04 08:00:00,24.086666666666662,31.593333333333334,19.83,10.636666666666668,9.213333333333331
2023-01-04 09:00:00,22.113333333333333,28.69333333333333,21.39333333333333,11.473333333333334,8.286666666666667
2023-01-04 10:00:00,8.145,17.634999999999998,25.71333333333333,9.253333333333332,7.010000000000001
2023-01-04 11:00:00,3.73,10.33,38.153333333333336,8.773333333333333,6.683333333333334
2023-01-04 12:00:00,12.885,18.48,31.8375,8.513333333333334,6.353333333333333
2023-01-04 13:00:00,7.2925,16.085,37.2725,7.260000000000001,5.4433333333333325
2023-01-04 14:00:00,8.25,15.715,40.0875,7.693333333333332,5.486666666666667
2023-01-04 15:00:00,8.4225,16.259999999999998,46.8925,6.94,4.886666666666667
2023-01-04 16:00:00,5.664999999999999,17.05,49.395,6.006666666666667,3.73
2023-01-04 17:00:00,6.775,17.759999999999998,48.625,6.390000000000001,3.733333333333333
2023-01-04 18:00:00,3.865,12.7125,53.515,4.966666666666667,3.306666666666666
2023-01-04 19:00:00,1.9525,8.76,59.04,4.513333333333333,2.856666666666667
2023-01-04 20:00:00,2.02,7.3325,62.9125,3.6966666666666663,2.306666666666666
2023-01-04 21:00:00,1.755,7.1375,61.495,3.826666666666666,2.3866666666666667
2023-01-04 22:00:00,0.8025,5.245,61.1925,4.036666666666666,2.623333333333333
2023-01-04 23:00:00,0.6375,5.234999999999999,58.6375,4.183333333333334,3.1833333333333336
2023-01-05 00:00:00,0.6025,4.077500000000001,61.215,3.9466666666666663,2.966666666666667
2023-01-05 01:00:00,0.4925,3.005,64.285,3.28,2.3166666666666664
